Date,Time,S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count,Avg_Temp,Temp_Range,Avg_Light,Light_Range,Avg_Sound,Sound_Range,Hour,Minute,DayOfWeek
2017/12/22,10:49:41,24.94,24.75,24.56,25.38,121,34,53,40,0.08,0.19,0.06,0.06,390,0.769230769231,0,0,1,24.9075,0.8200000000000003,62.0,87,0.0975,0.13,10,49,4
2017/12/22,10:50:12,24.94,24.75,24.56,25.44,121,33,53,40,0.93,0.05,0.06,0.06,390,0.646153846154,0,0,1,24.9225,0.8800000000000026,61.75,88,0.275,0.88,10,50,4
2017/12/22,10:50:42,25.0,24.75,24.5,25.44,121,34,53,40,0.43,0.11,0.08,0.06,390,0.519230769231,0,0,1,24.9225,0.9400000000000013,62.0,87,0.16999999999999998,0.37,10,50,4
2017/12/22,10:51:13,25.0,24.75,24.56,25.44,121,34,53,40,0.41,0.1,0.1,0.09,390,0.388461538462,0,0,1,24.9375,0.8800000000000026,62.0,87,0.175,0.31999999999999995,10,51,4
2017/12/22,10:51:44,25.0,24.75,24.56,25.44,121,34,54,40,0.18,0.06,0.06,0.06,390,0.253846153846,0,0,1,24.9375,0.8800000000000026,62.25,87,0.09,0.12,10,51,4
2017/12/22,10:52:14,25.0,24.81,24.56,25.44,121,34,54,40,0.13,0.06,0.06,0.07,390,0.165384615385,0,0,1,24.9525,0.8800000000000026,62.25,87,0.08,0.07,10,52,4
2017/12/22,10:52:45,25.0,24.75,24.56,25.44,120,34,54,40,1.39,0.32,0.43,0.06,390,0.0769230769231,1,0,1,24.9375,0.8800000000000026,62.0,86,0.55,1.3299999999999998,10,52,4
2017/12/22,10:53:15,25.0,24.81,24.56,25.44,121,34,54,41,0.09,0.06,0.09,0.05,390,-0.0115384615385,0,0,1,24.9525,0.8800000000000026,62.5,87,0.0725,0.039999999999999994,10,53,4
2017/12/22,10:53:46,25.0,24.81,24.56,25.5,122,35,56,43,0.09,0.05,0.06,0.13,390,-0.1,0,0,1,24.9675,0.9400000000000013,64.0,87,0.0825,0.08,10,53,4
2017/12/22,10:54:17,25.0,24.81,24.56,25.5,101,34,57,43,3.84,0.64,0.48,0.39,390,-0.188461538462,1,1,1,24.9675,0.9400000000000013,58.75,67,1.3374999999999997,3.4499999999999997,10,54,4
2017/12/22,10:54:47,25.06,24.81,24.56,25.44,122,35,57,43,2.2,0.31,0.33,0.21,390,-0.276923076923,1,1,1,24.967499999999998,0.8800000000000026,64.25,87,0.7625000000000001,1.9900000000000002,10,54,4
2017/12/22,10:55:18,25.06,24.81,24.56,25.5,123,35,57,44,0.42,0.13,0.14,0.09,390,-0.365384615385,1,0,1,24.982499999999998,0.9400000000000013,64.75,88,0.195,0.32999999999999996,10,55,4
2017/12/22,10:55:49,25.06,24.88,24.63,25.5,123,35,57,43,0.21,0.15,0.07,0.06,390,-0.453846153846,1,0,1,25.0175,0.870000000000001,64.5,88,0.1225,0.15,10,55,4
2017/12/22,10:56:19,25.06,24.81,24.63,25.56,123,35,57,44,1.66,0.21,0.12,0.09,390,-0.542307692308,1,0,1,25.015,0.9299999999999997,64.75,88,0.5199999999999999,1.5699999999999998,10,56,4
2017/12/22,10:56:50,25.06,24.88,24.63,25.56,123,35,58,44,0.57,0.17,0.21,0.13,390,-0.630769230769,1,0,1,25.0325,0.9299999999999997,65.0,88,0.27,0.43999999999999995,10,56,4
2017/12/22,10:57:21,25.06,24.88,24.63,25.56,123,35,58,44,0.14,0.17,0.15,0.06,390,-0.719230769231,1,0,1,25.0325,0.9299999999999997,65.0,88,0.13,0.11000000000000001,10,57,4
2017/12/22,10:57:51,25.06,24.88,24.63,25.56,122,35,58,44,0.24,0.05,0.1,0.05,395,-0.711538461538,0,0,1,25.0325,0.9299999999999997,64.75,87,0.11,0.19,10,57,4
